Área,Status,Universitário,Graduado,Formação,Português,Matemática,Inglês,Programação,Sexo,Idade,Total Horas,Horas CLF,Horas Formação,Horas Geração de Demanda,Horas Semana Gratuita,Horas Outras Funções,Horas Semana Regular
Tribo Digital CLF,Ativo,0,1,5 Formação,1,1,0,0,Male,22,54,20,0,19,12,3,0
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,1,1,0,1,Female,21,127,6,13,21,0,0,87
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,0,1,1,0,Male,23,176,8,13,0,66,4,84
Tribo Digital (PE+CE),Ativo,0,1,5 Formação,1,1,1,0,Male,26,181,35,9,53,63,13,9
Tribo Digital CLF,Ativo,0,1,5 Formação,1,0,0,0,Female,25,42,34,3,6,0,0,0
Tribo Digital (PE+CE),Ativo,0,1,5 Formação,0,1,0,0,Female,22,143,0,15,42,10,3,72
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,1,0,1,0,Female,21,175,0,11,25,9,43,87
Tribo Digital BH2,Ativo,0,1,5 Formação,1,1,0,0,Female,23,264,16,11,0,27,11,199
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,1,1,0,1,Male,20,209,0,14,0,0,0,195
Tribo Digital (PE+CE),Ativo,0,1,5 Formação,1,0,1,0,Female,22,204,18,14,0,30,1,141
Tribo Digital (PE+CE),Ativo,0,1,5 Formação,0,1,0,0,Male,24,225,18,13,0,54,1,139
Tribo Digital (PE+CE),Ativo,0,1,5 Formação,1,1,0,0,Male,23,155,0,12,46,16,33,48
Tribo Digital SP2,Inativo,1,0,5 Formação,0,1,0,0,Female,27,132,33,11,39,43,1,0
Tribo Digital ISP1,Ativo,1,0,5 Formação,1,0,1,0,Female,21,165,2,10,80,0,1,72
Tribo Digital ISP1,Inativo,0,1,5 Formação,1,1,0,0,Female,22,92,4,2,56,29,2,0
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,0,1,1,0,Male,23,167,18,4,46,76,5,18
Tribo Digital (PE+CE),Inativo,1,0,5 Formação,0,1,0,0,Female,22,150,0,13,85,0,32,21
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,1,1,1,0,Male,25,116,8,11,50,40,3,5
Tribo Digital BH1,Ativo,1,0,5 Formação,1,0,0,0,Male,21,138,2,12,46,44,1,33
Tribo Digital ISP1,Ativo,0,1,5 Formação,1,0,0,0,Female,24,164,0,11,79,0,1,73
Tribo Digital SP3,Ativo,1,0,5 Formação,1,0,0,0,Female,19,151,16,6,3,27,0,99
Tribo Digital (PE+CE),Inativo,1,0,5 Formação,0,1,1,0,Male,21,88,8,4,61,15,0,0
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,1,0,0,0,Female,21,198,15,9,8,15,0,151
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,1,0,0,0,Male,24,141,20,12,5,28,0,77
Tribo Digital SP2,Ativo,1,0,5 Formação,0,1,0,0,Male,26,189,13,7,0,15,4,150
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,1,0,0,0,Female,18,149,12,11,9,15,95,4
Tribo Digital BH2,Ativo,1,0,2 Formação,1,1,0,0,Female,23,153,0,11,0,16,0,126
Tribo Digital SP2,Ativo,1,0,3 Formação,1,1,1,0,Female,20,127,0,6,0,0,0,121
Tribo Digital SP3,Ativo,1,0,5 Formação,1,1,1,1,Male,0,349,0,5,0,20,0,324
Tribo Digital BH2,Ativo,0,0,5 Formação,1,0,1,0,Female,22,103,0,11,26,0,0,66
Tribo Digital SP2,Ativo,1,0,4 Formação,1,1,0,0,Female,22,133,0,9,52,0,0,72
Tribo Digital BH1,Inativo,1,0,2 Formação,1,0,1,0,Male,22,95,37,8,25,17,0,9
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,1,0,0,1,Female,19,155,12,11,91,20,2,9
Tribo Digital BH2,Inativo,0,1,5 Formação,1,1,0,0,Female,26,141,8,0,119,12,3,0
Tribo Digital SP2,Ativo,1,0,5 Formação,0,1,0,0,Female,24,135,0,11,0,0,1,123
Tribo Digital (PE+CE),Ativo,1,0,5 Formação,0,1,0,0,Male,25,111,21,0,36,23,9,19
Tribo Digital SP2,Inativo,0,1,3 Formação,1,1,1,0,Female,25,126,3,0,120,0,0,0
Tribo Digital PR1,Inativo,1,0,5 Formação,0,1,0,0,Male,22,123,18,11,45,17,0,33
Tribo Digital Cursinho,Ativo,0,0,1 Formação,1,1,0,1,Female,19,170,0,0,115,7,48,0
Tribo Digital SP2,Ativo,0,0,5 Formação,1,0,0,0,Female,22,209,30,14,0,36,5,125
Tribo Digital SP3,Ativo,0,0,1 Formação,0,1,0,1,Female,23,136,16,6,0,37,6,71
Tribo Digital BH2,Inativo,0,0,5 Formação,0,1,0,0,Male,22,146,4,11,104,28,0,0
Tribo Digital BH1,Ativo,0,0,5 Formação,1,1,0,0,Female,22,136,0,13,51,0,0,72
Tribo Presencial RJ1+ISP1,Ativo,0,0,5 Formação,1,0,0,0,Female,20,158,0,0,0,0,158,0
Tribo Digital Cursinho,Ativo,1,0,2 Formação,1,0,0,0,Male,24,162,22,0,17,15,107,2
Tribo Digital PR1,Ativo,0,0,1 Formação,1,0,1,0,Female,21,163,13,11,49,84,0,6
Tribo Digital (PE+CE),Ativo,0,0,1 Formação,1,0,1,0,Female,24,219,0,10,0,12,24,174
Tribo Digital ISP1,Ativo,0,0,1 Formação,1,1,0,0,Female,20,107,22,8,1,0,5,72
Tribo Digital SP3,Ativo,0,1,2 Formação,1,1,1,0,Male,24,270,43,6,65,142,8,0
Tribo Digital BH1,Ativo,0,0,5 Formação,1,1,1,1,Male,21,134,6,10,41,59,0,18
Tribo Digital PR1,Ativo,0,1,2 Formação,1,0,0,0,Male,27,155,24,7,58,42,0,24
Tribo Digital (PE+CE),Ativo,1,0,1 Formação,0,1,0,1,Male,23,151,7,11,14,0,3,117
Tribo Digital BH1,Ativo,1,0,1 Formação,1,0,1,0,Female,22,164,0,11,12,15,0,126
Tribo Digital Cursinho,Ativo,0,0,1 Formação,0,1,0,0,Male,25,151,65,0,5,42,0,39
Tribo Digital SP3,Ativo,0,0,1 Formação,0,1,0,0,Male,27,190,31,9,0,126,0,24
Tribo Digital (PE+CE),Ativo,1,0,2 Formação,0,1,0,0,Male,24,145,0,0,36,12,10,87
Tribo Digital BH1,Ativo,1,0,2 Formação,0,1,0,0,Female,25,137,18,7,27,15,0,70
Tribo Digital SP3,Ativo,1,0,2 Formação,1,0,1,0,Female,20,321,0,11,133,10,0,167
Tribo Digital ISP1,Ativo,0,0,1 Formação,1,1,0,1,Female,22,159,3,7,68,3,6,73
Tribo Digital CLF,Ativo,0,0,1 Formação,1,1,0,0,Male,22,37,16,0,15,0,4,2
Tribo Digital (PE+CE),Ativo,1,0,1 Formação,0,1,0,0,Female,21,174,0,15,0,61,1,97
Tribo Digital BH1,Ativo,1,0,2 Formação,1,0,0,0,Female,23,113,16,5,2,15,0,75
Tribo Digital BH2,Ativo,0,0,1 Formação,0,1,1,0,Female,20,201,19,9,120,47,3,3
Tribo Digital Cursinho,Ativo,0,1,1 Formação,1,0,1,0,Female,23,138,0,0,4,0,108,27
Tribo Digital PR1,Ativo,0,0,1 Formação,1,1,1,0,Female,20,164,13,11,43,27,4,66
Tribo Digital PR1,Ativo,1,0,2 Formação,1,0,0,0,Male,20,173,0,11,37,0,0,126
Tribo Digital BH1,Ativo,0,0,1 Formação,1,1,1,0,Male,24,140,17,11,0,42,1,69
Tribo Digital BH1,Ativo,1,0,2 Formação,1,1,0,0,Female,22,139,0,13,0,0,0,126
Tribo Digital BH1,Ativo,1,0,2 Formação,1,1,0,0,Male,22,135,27,9,42,3,0,54
Tribo Digital BH1,Inativo,0,0,1 Formação,1,1,0,0,Female,20,133,9,10,45,27,0,42
Tribo Digital BH2,Ativo,0,0,1 Formação,1,0,1,0,Female,26,212,23,8,40,129,0,12
Tribo Digital (PE+CE),Ativo,1,0,4 Formação,1,0,0,0,Female,28,161,5,13,9,0,8,126
Tribo Digital PR1,Ativo,1,0,2 Formação,1,1,0,0,Female,24,152,21,11,30,54,0,36
Tribo Digital BH1,Ativo,0,0,2 Formação,1,1,0,0,Male,20,135,0,10,52,0,0,73
Tribo Digital BH2,Ativo,0,0,1 Formação,0,1,0,0,Male,22,160,8,11,87,30,0,24
Tribo Digital Cursinho,Inativo,0,0,1 Formação,0,1,0,0,Male,20,156,4,0,24,30,35,63
Tribo Digital BH1,Ativo,0,0,1 Formação,1,1,1,1,Male,22,137,0,11,62,64,0,0
Tribo Digital BH2,Ativo,0,0,1 Formação,1,0,1,0,Female,21,176,18,9,87,0,6,57
Tribo Digital PR1,Inativo,1,0,2 Formação,1,0,0,0,Male,23,206,8,11,55,0,2,131
Tribo Digital BH2,Ativo,0,0,1 Formação,0,1,1,1,Male,24,142,19,9,18,18,0,78
Tribo Digital SP3,Inativo,0,0,2 Formação,1,0,1,0,Female,23,142,28,0,42,70,3,0
Tribo Digital BH1,Ativo,0,0,1 Formação,1,0,1,0,Male,27,145,8,12,67,54,4,0
Tribo Digital BH2,Ativo,0,0,1 Formação,1,0,0,0,Female,28,225,22,11,25,51,3,114
Tribo Digital PR1,Ativo,0,0,1 Formação,1,0,0,0,Female,21,163,0,11,41,27,12,72
Tribo Digital BH1,Ativo,0,0,1 Formação,0,1,0,1,Male,21,136,6,13,45,0,0,72
Tribo Digital SP3,Ativo,1,0,4 Formação,1,1,1,0,Male,21,175,0,7,168,0,0,0
Tribo Digital SP2,Ativo,0,0,4 Formação,1,1,0,1,Female,22,181,0,9,8,12,3,147
Tribo Digital Cursinho,Ativo,0,0,4 Formação,1,1,0,0,Male,21,89,0,0,8,54,0,27
Tribo Digital SP1,Ativo,0,0,4 Formação,1,1,1,0,Female,28,68,0,3,60,0,6,0
Tribo Digital Cursinho,Inativo,1,0,4 Formação,1,0,1,0,Female,24,110,0,0,11,39,7,54
Tribo Digital Cursinho,Ativo,0,0,4 Formação,1,1,1,0,Female,22,132,0,0,28,39,40,26
Tribo Digital Cursinho,Ativo,0,0,4 Formação,1,1,0,0,Female,28,97,21,0,10,27,12,27
Tribo Digital ISP1,Ativo,0,0,4 Formação,1,1,1,0,Male,21,148,10,11,26,85,9,9
Tribo Digital BH2,Inativo,0,0,4 Formação,1,0,0,0,Female,24,118,27,13,25,47,0,6
Tribo Digital (PE+CE),Ativo,1,0,4 Formação,1,0,1,0,Female,19,116,4,10,0,12,0,90
Tribo Digital SP1,Ativo,0,0,4 Formação,1,0,0,0,Female,21,98,0,11,13,0,2,72
Tribo Digital Cursinho,Ativo,0,0,3 Formação,1,1,0,0,Female,20,187,142,0,11,15,14,0
Tribo Presencial RJ1+ISP1,Inativo,0,0,1 Formação,0,1,0,0,Male,23,99,0,0,0,0,99,0
Tribo Digital SP1,Ativo,0,0,3 Formação,1,1,0,1,Male,21,123,12,9,0,27,0,75
Tribo Digital PR1,Ativo,0,0,3 Formação,1,1,0,0,Female,19,173,2,11,14,0,23,123
Tribo Digital SP1,Ativo,0,0,3 Formação,1,1,0,0,Female,21,200,9,9,80,30,3,70
Tribo Digital (PE+CE),Ativo,0,0,3 Formação,1,1,0,0,Female,20,155,14,13,1,28,1,99
Tribo Digital (PE+CE),Ativo,0,0,3 Formação,1,1,0,0,Male,23,144,0,14,0,0,0,130
Tribo Digital (PE+CE),Ativo,0,0,3 Formação,1,1,0,1,Female,26,221,24,14,3,139,23,18
Tribo Digital Cursinho,Inativo,0,0,3 Formação,1,1,0,0,Female,23,151,32,0,19,15,67,18
Tribo Digital Cursinho,Inativo,0,0,3 Formação,1,1,1,0,Female,20,151,145,0,6,0,0,0
Tribo Digital Cursinho,Ativo,0,0,3 Formação,1,1,1,0,Female,21,143,0,0,84,0,13,47
Tribo Digital SP2,Ativo,0,0,3 Formação,1,1,0,0,Male,22,143,3,5,88,27,3,18
Tribo Digital SP2,Inativo,0,0,3 Formação,1,1,1,0,Female,28,164,19,9,79,55,3,0
Tribo Digital (PE+CE),Ativo,1,0,3 Formação,1,1,0,0,Female,23,182,17,14,52,27,0,69
Tribo Digital ISP1,Ativo,0,0,3 Formação,0,1,1,0,Male,21,126,18,10,13,82,3,0
Tribo Digital (PE+CE),Ativo,0,0,3 Formação,1,1,0,1,Male,24,162,9,12,115,27,0,0
Tribo Digital SP2,Inativo,0,0,3 Formação,1,1,0,1,Female,20,162,35,9,46,70,3,0
Tribo Digital SP2,Ativo,0,0,3 Formação,1,1,1,0,Female,25,186,7,9,0,15,3,153
Tribo Digital SP3,Ativo,0,0,3 Formação,1,1,0,0,Female,22,198,0,5,0,0,2,189
Tribo Digital SP1,Ativo,1,0,3 Formação,1,1,0,0,Male,22,191,22,5,74,59,8,23
Tribo Digital ISP1,Ativo,0,0,3 Formação,1,0,1,1,Female,21,167,21,14,47,42,0,42
Tribo Digital SP2,Ativo,0,0,3 Formação,1,1,1,1,Female,23,138,0,9,0,0,0,126
Tribo Digital SP2,Ativo,0,0,3 Formação,1,1,0,0,Female,21,183,0,5,164,12,3,0
Tribo Digital ISP1,Ativo,0,0,3 Formação,1,1,1,0,Female,25,140,20,6,22,62,0,30
Tribo Digital SP1,Ativo,0,0,5 Formação,1,1,0,0,Male,26,227,10,14,11,54,0,138
Tribo Digital ISP1,Ativo,0,0,5 Formação,1,1,0,1,Male,21,206,15,11,20,33,0,127
Tribo Digital (PE+CE),Ativo,0,0,3 Formação,1,0,0,0,Female,24,215,0,11,0,0,3,201
Tribo Digital SP3,Ativo,0,0,3 Formação,1,1,1,0,Male,21,271,0,13,0,0,0,258
Tribo Digital CLF,Ativo,0,1,4 Formação,1,0,0,0,Male,26,37,34,3,0,0,0,0
Tribo Digital SP1,Ativo,0,0,2 Formação,1,1,1,0,Female,23,156,8,13,27,5,0,103
Tribo Digital SP1,Ativo,0,0,2 Formação,1,1,0,0,Female,22,81,0,9,0,0,0,72
Tribo Digital Cursinho,Ativo,0,0,2 Formação,1,1,0,0,Male,20,161,0,0,107,3,8,41
Tribo Digital SP1,Ativo,0,0,2 Formação,1,1,0,0,Female,20,207,17,9,54,42,0,86
Tribo Digital SP1,Ativo,0,0,2 Formação,1,1,0,0,Female,28,206,16,11,20,55,2,102
Tribo Digital SP2,Inativo,0,0,2 Formação,1,1,0,1,Male,20,169,32,9,45,84,0,0
Tribo Digital Cursinho,Inativo,0,0,2 Formação,1,1,0,0,Male,23,142,19,0,4,27,68,24
Tribo Digital Cursinho,Ativo,0,0,2 Formação,1,1,1,0,Male,22,214,0,0,6,69,139,0
Tribo Digital ISP1,Ativo,0,0,2 Formação,1,1,1,1,Female,22,160,14,10,35,27,0,75
Tribo Digital SP3,Inativo,0,0,2 Formação,1,1,0,0,Male,25,145,0,0,82,0,0,63
Tribo Digital ISP1,Inativo,0,0,5 Formação,1,1,0,0,Female,25,112,8,12,59,0,6,28
Tribo Digital ISP1,Inativo,0,0,5 Formação,1,1,0,0,Female,20,74,0,2,0,0,0,72
Tribo Digital PR1,Ativo,0,0,3 Formação,1,1,0,0,Male,23,164,40,11,32,27,0,54
Tribo Digital PR1,Ativo,1,0,5 Formação,1,1,0,0,Female,22,136,17,11,58,27,0,24
Tribo Digital PR1,Ativo,0,0,5 Formação,1,1,0,0,Male,23,168,14,9,5,15,0,126
Tribo Digital PR1,Ativo,1,0,5 Formação,1,1,0,0,Female,22,149,8,11,52,27,3,48
Tribo Digital Cursinho,Ativo,0,1,5 Formação,0,0,1,0,Female,22,244,100,0,0,0,144,0
Tribo Digital BH2,Ativo,0,1,5 Formação,1,1,0,0,Female,25,199,0,11,26,1,10,151
Tribo Digital BH1,Inativo,0,0,5 Formação,0,1,0,0,Male,22,79,40,5,34,0,0,0
Tribo Digital SP1,Inativo,0,0,1 Formação,1,1,0,0,Female,26,48,0,3,35,0,11,0
Tribo Digital Cursinho,Ativo,1,0,3 Formação,1,0,0,0,Female,22,165,54,0,16,27,13,56
Tribo Digital Cursinho,Ativo,0,0,5 Formação,0,1,0,0,Female,25,164,0,0,134,18,0,12
Tribo Digital Cursinho,Ativo,0,0,5 Formação,0,1,0,0,Male,20,134,0,0,34,54,46,0
Tribo Digital BH1,Ativo,1,0,5 Formação,1,1,0,0,Female,18,143,27,5,47,54,9,2
Tribo Digital BH2,Ativo,1,0,5 Formação,1,0,0,0,Female,20,194,15,13,14,29,0,124
